p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
DGAT1,5.35655892086805e-217,0.315445430299026,0.289,0.008,5.35334498551553e-213,0,DGAT1
TNNI3,2.00401960868671e-216,0.385301188640947,0.372,0.028,2.0028171969215e-212,0,TNNI3
C19orf33,3.52503373311512e-216,0.636869645999553,0.653,0.142,3.52291871287525e-212,0,C19orf33
NUAK2,1.68715494650392e-215,0.43426556366945,0.409,0.04,1.68614265353602e-211,0,NUAK2
PARD6B,2.67574769534078e-215,0.456229454617366,0.45,0.053,2.67414224672358e-211,0,PARD6B
TMEM63A,2.07721318731768e-213,0.517608310713658,0.554,0.094,2.07596685940529e-209,0,TMEM63A
TCEA3,6.11831959253826e-213,0.390763509480915,0.372,0.029,6.11464860078274e-209,0,TCEA3
SOCS7,2.38522214986439e-210,0.349675549125115,0.311,0.014,2.38379101657447e-206,0,SOCS7
EPHX1,5.30242854116139e-210,0.61376411341881,0.623,0.135,5.2992470840367e-206,0,EPHX1
APOD,8.55668072190056e-210,0.413811506597237,0.385,0.034,8.55154671346742e-206,0,APOD
RRAS2,1.52520912419527e-209,0.359970826687929,0.332,0.02,1.52429399872076e-205,0,RRAS2
SH3YL1,2.15106684769909e-209,0.501852228823255,0.554,0.094,2.14977620759047e-205,0,SH3YL1
GPR160,3.59066655545332e-209,0.426504761222639,0.408,0.042,3.58851215552005e-205,0,GPR160
KAT2A,1.27990949611811e-207,0.352898516369925,0.333,0.021,1.27914155042044e-203,0,KAT2A
TMEM37,4.04408155880033e-207,0.317859283179748,0.27,0.006,4.04165510986505e-203,0,TMEM37
NUCKS1,4.3083035382812e-206,0.620130401464109,0.957,0.501,4.30571855615823e-202,0,NUCKS1
RP11-727F15.9,2.04896676049381e-205,0.413928151345618,0.344,0.025,2.04773738043752e-201,0,RP11-727F15.9
CEBPD,6.16007207165482e-205,0.677026405142494,0.835,0.313,6.15637602841182e-201,0,CEBPD
CRYZ,1.70213677934441e-204,0.276910918235666,0.252,0.003,1.7011154972768e-200,0,CRYZ
LAMB2,2.27983876998685e-204,0.356297689452938,0.334,0.022,2.27847086672486e-200,0,LAMB2
